Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 236601.00
Averaged value with weight, minus tare: 		3470.7600097656
Calibrated value of weight: 		54.9954490661
Calibration complete, save and put in code if required. Set to: 		3470.7600097656
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.053, -0.063, -2.240, -0.025
1321, -0.038, -0.086, -16.941, -0.517
2641, -0.013, -0.048, -6.977, 0.099
4056, -0.010, -0.034, -14.495, 7.372
5470, -0.023, -0.041, -11.663, 11.633
6884, -0.008, -0.051, -16.607, 10.673
8299, -0.012, -0.037, -10.067, 9.779
9713, -0.048, -0.102, -41.246, 1.934
11033, -0.076, -0.138, -43.280, -2.094
12449, -0.060, -0.090, -16.607, -5.778
13863, -0.068, -0.080, -35.556, -1.929
15277, -0.287, -0.136, -45.134, -3.088
16692, -0.253, -0.167, -57.364, -1.876
18106, -0.295, -0.211, -77.549, -3.488
19426, -0.322, -0.188, -71.395, -3.458
20746, -0.308, -0.204, -65.911, -3.351
22067, 
