Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 6154.00
Averaged value with weight, minus tare: 		66.3000030517
Calibrated value of weight: 		3255.0000000000
Calibration complete, save and put in code if required. Set to: 		66.3000030517
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.792, -0.780, -0.180, 0.196
1355, -0.628, -0.780, 0.129, -0.920
2675, -1.245, -1.108, -0.695, 0.287
4089, -1.336, -0.616, -0.386, 10.060
5410, -0.682, -0.205, 0.154, 20.030
6824, -0.466, 0.164, -0.747, 18.718
8145, -0.628, 0.452, -0.103, 17.873
9559, -0.653, -0.493, -0.618, 14.811
10879, -0.687, -0.246, -0.283, 13.243
12200, -0.821, -0.616, -0.386, 10.468
13614, -0.905, -0.698, -0.489, 11.689
14934, -0.876, -0.287, -0.386, 15.551
16349, -0.464, 0.164, -0.283, 13.409
17669, -0.700, -0.123, 0.515, 13.710
19084, -0.752, -0.780, -0.051, 12.443
20404, -0.898, -0.575, 0.000, 12.278
21724, -0.962, -0.575, -0.257, 11.357
23139, -1.261, -1.314, -0.644, 10.935
24459, -1.138, -1.560, -0.232, 10.724
25873, -0.748, -1.560, -0.103, 10.603
27194, -0.804, -1.437, -0.335, 16.621
28608, -0.378, -0.287, 0.077, 14.781
29929, -0.293, -1.314, -0.051, 21.765
31344, -0.632, -1.190, -0.129, 24.676
32663, -0.690, -0.944, 0.051, 23.273
33984, -0.697, -0.903, -0.309, 27.315
35399, -0.768, -0.739, -0.232, 32.066
36719, -0.936, -0.821, -0.592, 33.137
38134, -1.194, 
