Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 575090.00
Averaged value with weight, minus tare: 		10377.1201171875
Calibrated value of weight: 		50.1004142761
Calibration complete, save and put in code if required. Set to: 		10377.1201171875
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.020, 49.851, -6.334, -2.640
1322, -0.022, 50.267, -5.587, -3.228
2642, -0.019, 49.709, -6.462, -3.198
3963, -0.023, 49.753, -6.179, -3.605
5283, -0.023, 23.523, -7.415, -4.012
6603, -0.022, 38.025, -6.823, -3.318
7923, -0.022, 41.146, -7.673, -3.816
9243, -0.023, 33.687, -8.084, -3.816
10563, -0.026, 31.593, -8.265, -3.997
11978, -0.024, 28.453, -8.239, -4.223
13298, -0.029, 22.192, -8.265, -4.087
14618, -0.025, 20.530, -8.265, -5.249
15938, -0.029, 21.309, -8.805, -4.781
17258, -0.028, 21.160, -9.423, -4.766
18579, -0.026, 17.636, -8.780, -5.641
19899, -0.031, 0.471, -9.501, -5.716
21219, -0.032, 0.610, -9.655, -6.275
22538, -0.032, 0.590, -9.629, -6.742
23953, -0.030, 0.501, -9.501, -6.621
25273, -0.031, 0.392, -9.887, -5.641
26592, -0.028, -0.133, -10.453, -6.606
27913, -0.030, -0.198, -10.633, -6.591
29233, -0.030, -0.181, -10.273, -6.953
30553, -0.033, -0.259, -10.659, -7.300
31873, -0.033, -0.228, -10.427, -6.968
33193, -0.034, -0.228, -11.200, -7.285
34513, 
