Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 61472.00
Averaged value with weight, minus tare: 		-82.8799972534
Calibrated value of weight: 		227.6544494628
Calibration complete, save and put in code if required. Set to: 		-82.8799972534
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -2318.000, 605.864, -8779.000, -98.000
1286, 37.000, -57.227, 8251.000, 3061.000
2607, 198.000, -62.102, 8276.000, 2982.000
3927, 191.000, -56.757, 8250.000, 2981.000
5247, 128.000, -53.523, 8191.000, 2914.000
6472, 82.000, -49.988, 8231.000, 2798.000
7793, 83.000, -37.922, 8169.000, 2564.000
9113, 50.000, -2.811, 8003.000, 1863.000
10433, -14.000, 193.666, 5911.000, -582.000
11753, 10.000, 363.272, 3896.000, -16651.000
13074, -15740.000, 616.228, -14483.000, -28221.000
14394, -3335.000, 611.474, -12968.000, -22878.000
15714, -1765.000, 610.956, -13976.000, -27622.000
17034, -3271.000, 615.142, -10007.000, 2546.000
18920, -101.000, 204.778, -16369.000, -31861.000
61534, -21077.000, 629.416, -16372.000, -32025.000
62854, -20865.000, 618.641, -14685.000, -30912.000
64174, -20840.000, 623.480, -16477.000, -32224.000
65494, -21352.000, 633.711, -16546.000, -32171.000
66815, -21378.000, 633.675, -16541.000, -32158.000
68135, -21353.000, 633.820, -16525.000, -31616.000
69454, -19940.000, 618.436, 
